scenario,duration(s),folder
6,40,24-06-22_19-00-57
7,40,24-06-22_19-00-57
8,40,24-06-22_19-00-57
9,40,24-06-22_19-00-57
10,59,24-06-22_19-00-57
11,58,24-06-22_19-00-57
12,40,24-06-22_19-00-57
13,40,24-06-22_19-00-57
14,43,24-06-22_19-00-57
15,97,24-06-22_19-00-57
16,79,24-06-22_19-00-57
17,56,24-06-22_19-00-57
18,70,24-06-22_19-00-57
19,40,24-06-22_19-00-57
20,41,24-06-22_19-00-57
21,68,24-06-22_19-00-57
22,78,24-06-22_19-00-57
23,100,24-06-22_19-00-57
24,52,24-06-22_19-00-57
25,62,24-06-22_19-00-57
26,40,24-06-22_19-00-57
27,40,24-06-22_19-00-57
28,41,24-06-22_19-00-57
29,132,24-06-22_19-00-57
30,54,24-06-22_19-00-57
31,61,24-06-22_19-00-57
32,41,24-06-22_19-00-57
33,40,24-06-22_19-00-57
34,40,24-06-22_19-00-57
35,43,24-06-22_19-00-57
36,45,24-06-22_19-00-57
37,40,24-06-22_19-00-57
1,40,29-07-22_16-48-16
2,40,29-07-22_16-48-16
3,40,29-07-22_16-48-16
4,40,29-07-22_16-48-16
1,41,19-05-22_14-22-39
2,40,19-05-22_14-22-39
3,40,19-05-22_14-22-39
4,40,19-05-22_14-22-39
1,40,30-07-22_13-15-17
2,40,30-07-22_13-15-17
3,40,30-07-22_13-15-17
4,40,30-07-22_13-15-17
5,42,30-07-22_13-15-17
6,40,30-07-22_13-15-17
7,68,30-07-22_13-15-17
8,43,30-07-22_13-15-17
9,40,30-07-22_13-15-17
10,42,30-07-22_13-15-17
11,40,30-07-22_13-15-17
12,40,30-07-22_13-15-17
1,40,14-05-22_18-47-48
2,43,14-05-22_18-47-48
3,138,14-05-22_18-47-48
4,78,14-05-22_18-47-48
5,63,14-05-22_18-47-48
6,69,14-05-22_18-47-48
7,48,14-05-22_18-47-48
8,223,14-05-22_18-47-48
9,72,14-05-22_18-47-48
10,46,14-05-22_18-47-48
11,40,14-05-22_18-47-48
12,218,14-05-22_18-47-48
13,55,14-05-22_18-47-48
14,173,14-05-22_18-47-48
15,40,14-05-22_18-47-48
16,43,14-05-22_18-47-48
17,51,14-05-22_18-47-48
18,41,14-05-22_18-47-48
19,40,14-05-22_18-47-48
20,41,14-05-22_18-47-48
1,78,01-08-22_19-04-58
2,40,01-08-22_19-04-58
3,68,01-08-22_19-04-58
4,41,01-08-22_19-04-58
5,41,01-08-22_19-04-58
6,139,01-08-22_19-04-58
7,40,01-08-22_19-04-58
1,40,30-07-22_12-12-10
2,41,30-07-22_12-12-10
3,42,30-07-22_12-12-10
1,41,24-06-22_23-56-47
1,89,20-08-22_15-42-01
2,60,20-08-22_15-42-01
3,40,20-08-22_15-42-01
4,40,20-08-22_15-42-01
5,99,20-08-22_15-42-01
6,67,20-08-22_15-42-01
7,40,20-08-22_15-42-01
8,54,20-08-22_15-42-01
9,40,20-08-22_15-42-01
10,40,20-08-22_15-42-01
11,71,20-08-22_15-42-01
12,81,20-08-22_15-42-01
13,62,20-08-22_15-42-01
14,44,20-08-22_15-42-01
15,40,20-08-22_15-42-01
16,42,20-08-22_15-42-01
17,40,20-08-22_15-42-01
18,42,20-08-22_15-42-01
19,40,20-08-22_15-42-01
20,40,20-08-22_15-42-01
1,60,28-07-22_18-38-48
1,40,30-07-22_17-55-03
2,122,30-07-22_17-55-03
3,78,30-07-22_17-55-03
4,54,30-07-22_17-55-03
5,80,30-07-22_17-55-03
6,59,30-07-22_17-55-03
7,40,30-07-22_17-55-03
8,41,30-07-22_17-55-03
9,40,30-07-22_17-55-03
10,40,30-07-22_17-55-03
11,40,30-07-22_17-55-03
1,61,28-06-22_17-38-08
2,85,28-06-22_17-38-08
3,40,28-06-22_17-38-08
4,139,28-06-22_17-38-08
5,99,28-06-22_17-38-08
6,110,28-06-22_17-38-08
7,40,28-06-22_17-38-08
8,42,28-06-22_17-38-08
9,45,28-06-22_17-38-08
10,40,28-06-22_17-38-08
11,61,28-06-22_17-38-08
12,40,28-06-22_17-38-08
13,40,28-06-22_17-38-08
14,40,28-06-22_17-38-08
15,89,28-06-22_17-38-08
16,65,28-06-22_17-38-08
17,41,28-06-22_17-38-08
18,40,28-06-22_17-38-08
19,40,28-06-22_17-38-08
20,40,28-06-22_17-38-08
21,40,28-06-22_17-38-08
22,40,28-06-22_17-38-08
23,40,28-06-22_17-38-08
24,40,28-06-22_17-38-08
25,123,28-06-22_17-38-08
26,40,28-06-22_17-38-08
27,40,28-06-22_17-38-08
28,40,28-06-22_17-38-08
29,120,28-06-22_17-38-08
30,41,28-06-22_17-38-08
31,40,28-06-22_17-38-08
32,40,28-06-22_17-38-08
33,40,28-06-22_17-38-08
34,41,28-06-22_17-38-08
35,57,28-06-22_17-38-08
36,40,28-06-22_17-38-08
37,58,28-06-22_17-38-08
38,40,28-06-22_17-38-08
39,44,28-06-22_17-38-08
40,69,28-06-22_17-38-08
41,40,28-06-22_17-38-08
42,40,28-06-22_17-38-08
43,72,28-06-22_17-38-08
44,121,28-06-22_17-38-08
45,40,28-06-22_17-38-08
46,87,28-06-22_17-38-08
47,48,28-06-22_17-38-08
48,91,28-06-22_17-38-08
49,118,28-06-22_17-38-08
50,41,28-06-22_17-38-08
1,40,24-06-22_23-28-05
2,56,24-06-22_23-28-05
3,41,24-06-22_23-28-05
4,41,24-06-22_23-28-05
5,64,24-06-22_23-28-05
6,40,24-06-22_23-28-05
1,110,20-07-22_21-00-35
2,41,20-07-22_21-00-35
3,88,20-07-22_21-00-35
4,56,20-07-22_21-00-35
5,56,20-07-22_21-00-35
6,125,20-07-22_21-00-35
7,86,20-07-22_21-00-35
1,40,01-08-22_09-55-56
1,112,27-07-22_20-39-48
2,41,27-07-22_20-39-48
3,40,27-07-22_20-39-48
4,40,27-07-22_20-39-48
5,40,27-07-22_20-39-48
6,40,27-07-22_20-39-48
7,58,27-07-22_20-39-48
8,40,27-07-22_20-39-48
1,40,20-06-22_23-44-19
2,41,20-06-22_23-44-19
1,40,31-07-22_17-09-50
2,40,31-07-22_17-09-50
3,66,31-07-22_17-09-50
4,695,31-07-22_17-09-50
5,77,31-07-22_17-09-50
6,508,31-07-22_17-09-50
7,59,31-07-22_17-09-50
8,105,31-07-22_17-09-50
9,40,31-07-22_17-09-50
10,40,31-07-22_17-09-50
11,96,31-07-22_17-09-50
12,222,31-07-22_17-09-50
13,143,31-07-22_17-09-50
14,121,31-07-22_17-09-50
15,132,31-07-22_17-09-50
16,175,31-07-22_17-09-50
17,40,31-07-22_17-09-50
1,40,29-07-22_14-19-31
2,40,29-07-22_14-19-31
1,112,20-05-22_18-38-12
2,40,20-05-22_18-38-12
3,50,20-05-22_18-38-12
4,40,20-05-22_18-38-12
5,42,20-05-22_18-38-12
6,60,20-05-22_18-38-12
7,40,20-05-22_18-38-12
8,60,20-05-22_18-38-12
9,40,20-05-22_18-38-12
10,40,20-05-22_18-38-12
11,40,20-05-22_18-38-12
12,56,20-05-22_18-38-12
13,67,20-05-22_18-38-12
14,40,20-05-22_18-38-12
15,40,20-05-22_18-38-12
16,67,20-05-22_18-38-12
17,41,20-05-22_18-38-12
18,40,20-05-22_18-38-12
19,40,20-05-22_18-38-12
20,101,20-05-22_18-38-12
21,122,20-05-22_18-38-12
22,83,20-05-22_18-38-12
23,40,20-05-22_18-38-12
24,40,20-05-22_18-38-12
25,119,20-05-22_18-38-12
26,55,20-05-22_18-38-12
27,97,20-05-22_18-38-12
28,82,20-05-22_18-38-12
29,40,20-05-22_18-38-12
30,158,20-05-22_18-38-12
31,56,20-05-22_18-38-12
32,45,20-05-22_18-38-12
33,55,20-05-22_18-38-12
34,47,20-05-22_18-38-12
35,61,20-05-22_18-38-12
36,56,20-05-22_18-38-12
37,40,20-05-22_18-38-12
38,74,20-05-22_18-38-12
39,61,20-05-22_18-38-12
40,41,20-05-22_18-38-12
41,40,20-05-22_18-38-12
42,40,20-05-22_18-38-12
43,78,20-05-22_18-38-12
44,73,20-05-22_18-38-12
45,109,20-05-22_18-38-12
46,43,20-05-22_18-38-12
47,55,20-05-22_18-38-12
48,40,20-05-22_18-38-12
49,71,20-05-22_18-38-12
50,40,20-05-22_18-38-12
51,46,20-05-22_18-38-12
52,75,20-05-22_18-38-12
53,66,20-05-22_18-38-12
54,105,20-05-22_18-38-12
55,50,20-05-22_18-38-12
56,59,20-05-22_18-38-12
57,42,20-05-22_18-38-12
58,45,20-05-22_18-38-12
59,76,20-05-22_18-38-12
60,41,20-05-22_18-38-12
61,40,20-05-22_18-38-12
62,143,20-05-22_18-38-12
63,40,20-05-22_18-38-12
64,44,20-05-22_18-38-12
65,76,20-05-22_18-38-12
66,57,20-05-22_18-38-12
67,47,20-05-22_18-38-12
68,159,20-05-22_18-38-12
69,92,20-05-22_18-38-12
70,40,20-05-22_18-38-12
71,40,20-05-22_18-38-12
72,45,20-05-22_18-38-12
73,43,20-05-22_18-38-12
74,74,20-05-22_18-38-12
75,40,20-05-22_18-38-12
76,40,20-05-22_18-38-12
77,45,20-05-22_18-38-12
1,40,14-05-22_19-57-37
2,40,14-05-22_19-57-37
3,103,14-05-22_19-57-37
4,88,14-05-22_19-57-37
5,41,14-05-22_19-57-37
6,57,14-05-22_19-57-37
7,136,14-05-22_19-57-37
8,42,14-05-22_19-57-37
9,40,14-05-22_19-57-37
10,196,14-05-22_19-57-37
11,61,14-05-22_19-57-37
12,90,14-05-22_19-57-37
13,60,14-05-22_19-57-37
14,41,14-05-22_19-57-37
15,162,14-05-22_19-57-37
16,180,14-05-22_19-57-37
17,40,14-05-22_19-57-37
18,40,14-05-22_19-57-37
19,55,14-05-22_19-57-37
1,43,29-06-22_18-22-34
2,53,29-06-22_18-22-34
3,54,29-06-22_18-22-34
4,40,29-06-22_18-22-34
5,40,29-06-22_18-22-34
6,40,29-06-22_18-22-34
7,40,29-06-22_18-22-34
8,40,29-06-22_18-22-34
9,40,29-06-22_18-22-34
10,41,29-06-22_18-22-34
11,43,29-06-22_18-22-34
12,40,29-06-22_18-22-34
13,49,29-06-22_18-22-34
14,143,29-06-22_18-22-34
15,40,29-06-22_18-22-34
16,40,29-06-22_18-22-34
17,121,29-06-22_18-22-34
18,40,29-06-22_18-22-34
19,45,29-06-22_18-22-34
20,90,29-06-22_18-22-34
21,75,29-06-22_18-22-34
1,40,20-08-22_14-38-27
2,60,20-08-22_14-38-27
3,73,20-08-22_14-38-27
4,178,20-08-22_14-38-27
5,40,20-08-22_14-38-27
6,41,20-08-22_14-38-27
7,40,20-08-22_14-38-27
8,40,20-08-22_14-38-27
9,40,20-08-22_14-38-27
10,40,20-08-22_14-38-27
11,40,20-08-22_14-38-27
12,41,20-08-22_14-38-27
13,102,20-08-22_14-38-27
14,72,20-08-22_14-38-27
15,40,20-08-22_14-38-27
16,57,20-08-22_14-38-27
17,89,20-08-22_14-38-27
18,200,20-08-22_14-38-27
19,42,20-08-22_14-38-27
20,74,20-08-22_14-38-27
21,106,20-08-22_14-38-27
22,53,20-08-22_14-38-27
1,41,28-07-22_17-31-28
2,40,28-07-22_17-31-28
1,117,30-07-22_14-23-04
2,40,30-07-22_14-23-04
3,40,30-07-22_14-23-04
4,53,30-07-22_14-23-04
5,40,30-07-22_14-23-04
6,40,30-07-22_14-23-04
7,40,30-07-22_14-23-04
8,40,30-07-22_14-23-04
9,144,30-07-22_14-23-04
10,42,30-07-22_14-23-04
11,41,30-07-22_14-23-04
1,41,14-05-22_21-28-10
1,40,29-07-22_13-01-53
1,40,17-05-22_17-02-09
2,40,17-05-22_17-02-09
3,46,17-05-22_17-02-09
1,107,23-06-22_19-43-49
2,40,23-06-22_19-43-49
3,96,23-06-22_19-43-49
4,71,23-06-22_19-43-49
5,40,23-06-22_19-43-49
6,85,23-06-22_19-43-49
7,65,23-06-22_19-43-49
8,49,23-06-22_19-43-49
9,40,23-06-22_19-43-49
10,81,23-06-22_19-43-49
11,40,23-06-22_19-43-49
12,40,23-06-22_19-43-49
13,57,23-06-22_19-43-49
14,40,23-06-22_19-43-49
15,40,23-06-22_19-43-49
16,73,23-06-22_19-43-49
17,79,23-06-22_19-43-49
18,50,23-06-22_19-43-49
19,51,23-06-22_19-43-49
20,51,23-06-22_19-43-49
21,42,23-06-22_19-43-49
22,40,23-06-22_19-43-49
23,142,23-06-22_19-43-49
24,40,23-06-22_19-43-49
25,40,23-06-22_19-43-49
26,75,23-06-22_19-43-49
27,65,23-06-22_19-43-49
28,97,23-06-22_19-43-49
29,40,23-06-22_19-43-49
30,59,23-06-22_19-43-49
31,40,23-06-22_19-43-49
32,40,23-06-22_19-43-49
33,76,23-06-22_19-43-49
34,81,23-06-22_19-43-49
35,40,23-06-22_19-43-49
36,40,23-06-22_19-43-49
37,40,23-06-22_19-43-49
38,40,23-06-22_19-43-49
39,40,23-06-22_19-43-49
40,40,23-06-22_19-43-49
41,50,23-06-22_19-43-49
42,40,23-06-22_19-43-49
43,54,23-06-22_19-43-49
44,40,23-06-22_19-43-49
1,58,19-05-22_19-32-43
2,40,19-05-22_19-32-43
3,40,19-05-22_19-32-43
4,65,19-05-22_19-32-43
5,40,19-05-22_19-32-43
6,74,19-05-22_19-32-43
7,73,19-05-22_19-32-43
8,41,19-05-22_19-32-43
9,40,19-05-22_19-32-43
10,40,19-05-22_19-32-43
11,62,19-05-22_19-32-43
12,40,19-05-22_19-32-43
13,69,19-05-22_19-32-43
14,76,19-05-22_19-32-43
15,60,19-05-22_19-32-43
16,96,19-05-22_19-32-43
17,40,19-05-22_19-32-43
18,40,19-05-22_19-32-43
19,41,19-05-22_19-32-43
20,40,19-05-22_19-32-43
21,41,19-05-22_19-32-43
22,106,19-05-22_19-32-43
23,65,19-05-22_19-32-43
24,40,19-05-22_19-32-43
25,112,19-05-22_19-32-43
26,40,19-05-22_19-32-43
27,67,19-05-22_19-32-43
28,41,19-05-22_19-32-43
29,53,19-05-22_19-32-43
30,65,19-05-22_19-32-43
31,40,19-05-22_19-32-43
32,42,19-05-22_19-32-43
33,40,19-05-22_19-32-43
34,90,19-05-22_19-32-43
35,64,19-05-22_19-32-43
36,57,19-05-22_19-32-43
37,40,19-05-22_19-32-43
38,49,19-05-22_19-32-43
39,40,19-05-22_19-32-43
40,62,19-05-22_19-32-43
41,62,19-05-22_19-32-43
42,53,19-05-22_19-32-43
43,40,19-05-22_19-32-43
44,58,19-05-22_19-32-43
45,42,19-05-22_19-32-43
46,40,19-05-22_19-32-43
47,86,19-05-22_19-32-43
48,61,19-05-22_19-32-43
49,89,19-05-22_19-32-43
50,113,19-05-22_19-32-43
51,78,19-05-22_19-32-43
52,41,19-05-22_19-32-43
53,41,19-05-22_19-32-43
54,142,19-05-22_19-32-43
55,40,19-05-22_19-32-43
56,41,19-05-22_19-32-43
57,45,19-05-22_19-32-43
58,186,19-05-22_19-32-43
59,40,19-05-22_19-32-43
60,40,19-05-22_19-32-43
61,41,19-05-22_19-32-43
62,49,19-05-22_19-32-43
63,40,19-05-22_19-32-43
1,40,28-06-22_17-06-53
2,57,28-06-22_17-06-53
3,41,28-06-22_17-06-53
4,40,28-06-22_17-06-53
5,46,28-06-22_17-06-53
6,40,28-06-22_17-06-53
7,74,28-06-22_17-06-53
8,54,28-06-22_17-06-53
9,40,28-06-22_17-06-53
10,40,28-06-22_17-06-53
11,181,28-06-22_17-06-53
12,40,28-06-22_17-06-53
13,41,28-06-22_17-06-53
1,40,29-07-22_21-02-27
1,40,29-07-22_19-58-21
2,46,29-07-22_19-58-21
3,40,29-07-22_19-58-21
4,40,29-07-22_19-58-21
5,40,29-07-22_19-58-21
6,40,29-07-22_19-58-21
1,40,31-07-22_19-12-07
2,42,31-07-22_19-12-07
3,41,31-07-22_19-12-07
4,40,31-07-22_19-12-07
5,53,31-07-22_19-12-07
6,57,31-07-22_19-12-07
7,41,31-07-22_19-12-07
8,40,31-07-22_19-12-07
9,101,31-07-22_19-12-07
10,41,31-07-22_19-12-07
11,40,31-07-22_19-12-07
12,41,31-07-22_19-12-07
13,40,31-07-22_19-12-07
1,40,15-05-22_21-24-28
2,40,15-05-22_21-24-28
3,41,15-05-22_21-24-28
4,41,15-05-22_21-24-28
5,113,15-05-22_21-24-28
6,40,15-05-22_21-24-28
7,42,15-05-22_21-24-28
8,40,15-05-22_21-24-28
9,41,15-05-22_21-24-28
10,40,15-05-22_21-24-28
11,40,15-05-22_21-24-28
12,40,15-05-22_21-24-28
13,97,15-05-22_21-24-28
14,40,15-05-22_21-24-28
15,41,15-05-22_21-24-28
16,65,15-05-22_21-24-28
17,96,15-05-22_21-24-28
18,40,15-05-22_21-24-28
19,40,15-05-22_21-24-28
20,40,15-05-22_21-24-28
21,89,15-05-22_21-24-28
22,78,15-05-22_21-24-28
23,87,15-05-22_21-24-28
1,50,28-07-22_16-28-54
2,42,28-07-22_16-28-54
3,68,28-07-22_16-28-54
4,40,28-07-22_16-28-54
5,40,28-07-22_16-28-54
1,40,19-08-22_19-44-25
2,41,19-08-22_19-44-25
3,108,19-08-22_19-44-25
4,41,19-08-22_19-44-25
5,41,19-08-22_19-44-25
6,40,19-08-22_19-44-25
7,40,19-08-22_19-44-25
8,40,19-08-22_19-44-25
9,40,19-08-22_19-44-25
10,40,19-08-22_19-44-25
11,40,19-08-22_19-44-25
12,50,19-08-22_19-44-25
13,72,19-08-22_19-44-25
14,51,19-08-22_19-44-25
15,84,19-08-22_19-44-25
16,54,19-08-22_19-44-25
17,41,19-08-22_19-44-25
18,41,19-08-22_19-44-25
19,40,19-08-22_19-44-25
20,41,19-08-22_19-44-25
21,41,19-08-22_19-44-25
22,40,19-08-22_19-44-25
23,40,19-08-22_19-44-25
24,59,19-08-22_19-44-25
25,41,19-08-22_19-44-25
26,40,19-08-22_19-44-25
27,42,19-08-22_19-44-25
1,46,13-05-22_21-26-18
2,45,13-05-22_21-26-18
3,40,13-05-22_21-26-18
4,40,13-05-22_21-26-18
5,54,13-05-22_21-26-18
6,48,13-05-22_21-26-18
7,40,13-05-22_21-26-18
8,88,13-05-22_21-26-18
9,41,13-05-22_21-26-18
10,101,13-05-22_21-26-18
11,146,13-05-22_21-26-18
12,62,13-05-22_21-26-18
